Dänisch,Deutsch
er,ist
jeg,ich
det,Das
du,Sie
ikke,nicht
at,zu
en,eins
og,und
har,haben
vi,wir
til,zu
på,auf
hvad,Was
mig,mich
med,mit
de,das
den,das
for,zum
der,Dort
så,damit
dig,Sie
han,er
kan,fähig
af,von
vil,werden
var,war
her,Hier
et,eins
skal,Muss
ved,durch
men,aber
om,Über
nu,jetzt
som,wie
ja,Ja
min,Bergwerk
nej,Nein
noget,etwas
ham,ihm
hun,sie
være,Sein
bare,gerade
kom,kam
din,Ihre
hvor,wo
os,UNS
dem,Sie
hvis,wenn
ud,aus
må,Muss
fra,von
se,sehen
godt,Gut
have,Garten
ville,würde
gør,machen
lige,gerade
okay,okay
alle,alles
op,oben
lad,verlassen
hvorfor,Warum
tror,denken
sig,sich
tak,Vielen Dank
hvordan,Wie
kommer,Kommen
få,wenige
kunne,könnten
gøre,machen
meget,viel
eller,oder
hende,ihr
ingen,keiner
tilbage,zurück
hvem,die
gå,gehen
bliver,wird
havde,hätten
efter,nach dem
nok,genug
man,Sie
da,wie
går,Wanderungen
alt,alles
sagde,sagte
mit,meine
når,wann
ind,im
vores,unsere
over,Über
aldrig,noch nie
nogen,jemand
måske,kann sein
hans,seine
skulle,sollte
mand,männlich
selv,selbst
to,auftauen
mere,Mehr
jo,das
jer,Sie
siger,sagen
også,ebenfalls
lidt,wenig
dit,Ihre
kun,nur
deres,ihr
far,Schaf
ser,aussehen
blev,wurden
får,Schaf
hej,Hallo
sådan,eine solche
dette,diese
igen,nochmal
sammen,zusammen
denne,diese
hele,alles
hold,Mannschaft
mine,meine
tager,nehmen
ned,Nieder
komme,Kommen Sie
dag,Tag
undskyld,Pardon
tage,nehmen
blive,Sein
mor,Mutter
væk,Weg
end,als
åh,Oh
sige,sagen
været,gewesen
tid,Zeit
fordi,weil
helt,ganz
sted,Ort
før,Vor
gjorde,tat
god,gut
gang,gehen
år,Jahr
tag,Dach
laver,tun
mange,viele
nogle,etwas
dine,deine
fik,bekam
mener,denken
ting,Ding
lille,wenig
siden,schon seit
altid,immer
mr,Herr.
brug,benutzen
folk,Menschen
virkelig,Ja wirklich
vent,Warten
finde,finden
anden,andere
stadig,immer noch
hjem,Zuhause
gud,Gott
liv,Leben
vej,Weg
kender,kennt
andre,Andere
klar,klar
tale,sich unterhalten
mod,gegen
uden,ohne
elsker,Liebe
set,gesehen
tre,drei
hør,hören
ret,richtig
gerne,Gern
hr,Herr
giv,geben
sir,Herr
sidste,zuletzt
tog,Zug
fanden,Hölle
intet,nichts
død,Tod
fint,fein
vel,Gut
nå,erreichen
jeres,Ihre
lide,mögen
troede,habe gedacht
hendes,ihr
hen,zu
blevet,gewesen
vide,kennt
gjort,erledigt
sker,das passiert
bedre,besser
ven,Freund
første,zuerst
hjælpe,Hilfe
vær,Sein
aften,Abend
samme,gleich
andet,andere Dinge
hjælp,Hilfe
gik,ging
vidste,wusste
forstår,verstehen
arbejde,Besetzung
under,unten
navn,Name
sin,seine
give,geben
skat,Schatz
eneste,nur
høre,hören
penge,Geld
morgen,Morgen
endnu,noch
giver,bietet
burde,sollte
bedste,Beste
bruge,benutzen
holde,behalten
hey,Hallo
synes,scheinen
sikker,sicher
tro,glauben
fortælle,sagen
venner,Freunde
står,steht
stop,Stop
sikkert,sicher
nødt,brauchen
længe,lange
ok,OK
verden,Welt
engang,einmal
taler,spricht
stor,groß
døde,ist gestorben
hver,jeder
måde,Weise
fyr,Kerl
ude,aus
hedder,namens
finder,Funde
par,Paar
store,großartig
fandt,gefunden
selvfølgelig,Na sicher
fået,empfangen
bange,ängstlich
skete,passiert
først,zuerst
snart,demnächst
næste,Nächster
disse,diese
holder,Halter
øjeblik,Moment
faktisk,tatsächlich
mænd,Männer
ihjel,Tod
behøver,Bedürfnisse
betyder,meint
pige,Mädchen
hos,mit
ellers,oder aber
flere,Mehr
lort,Scheisse
gamle,alt
tiden,die Zeit
ked,Es tut uns leid
søn,Sohn
gode,Ausgezeichnet
hallo,Hallo
prøver,Proben
ligesom,so wie
stille,ruhig
mennesker,Menschen
rigtigt,richtig
dø,sterben
Jack,Jack
nye,Neu
børn,Kinder
vist,gezeigt
lave,machen
minutter,Protokoll
lade,Lassen
slå,schlagen
gav,gab
fem,fünf
huske,merken
galt,falsch
derfor,Deshalb
orden,Auftrag
rigtig,richtig
gange,mal
pas,Reisepass
helvede,Hölle
dage,Tage
kone,Ehefrau
fundet,gefunden
alene,allein
farvel,Auf Wiedersehen
møde,Treffen
taget,genommen
allerede,bereits
bliv,Anmeldung
hurtigt,schnell
én,eins
herfra,von hier
ønsker,wünscht sich
ses,Tschüss
grund,Grund
slags,So'ne Art
kommet,kam
rolig,Ruhe
hvilken,Welcher
altså,alles
bil,Auto
skyld,Fehler
familie,Familie
sagt,sagte
kvinde,Frau
hørt,gehört
fire,vier
venter,warten
side,Seite
klare,abziehen
hører,hört man
vejen,die Straße
dræbe,töten
dreng,Junge
hvornår,wann
rundt,runden
fortæl,sagen
imod,gegen
arbejder,Arbeiter
dør,Tür
hellere,lieber
frem,nach vorne
senere,später
langt,lange
del,Teilen
hørte,gehört
begge,beide
håber,Hoffnung
længere,des Weiteren
pis,pi
fejl,Error
bilen,das Auto
inden,Vor
nogensinde,je
haft,hätten
Dr,DR
glad,froh
livet,Leben
sæt,einstellen
kører,Fahren
heller,Noch
sket,passiert
sandt,wahr
hinanden,gegenseitig
næsten,fast
ny,Neu
inde,im
virker,Werk
leder,Führer
hus,Haus
kæft,"halte den Mund, halt den Rand, Halt die Klappe"
ord,Wort
ingenting,nichts
politiet,die Polizei
gået,Weg
spørgsmål,Fragen
lang,lange
pa,auf
timer,h
snakke,sich unterhalten
lyder,Geräusche
bag,hinter
john,John
bror,Bruder
byen,die Stadt
prøve,Stichprobe
kaptajn,Kapitän
problem,Problem
indtil,bis
dog,jedoch
tænkte,habe gedacht
videre,fortsetzen
sent,spät
ben,Bein
sød,Süss
løb,Rennen
egen,besitzen
ondt,schmerzen
barn,Kind
velkommen,herzlich willkommen
vise,Show
fat,halt
mens,während
omkring,um
igennem,durch
fortalte,erzählte
sit,seine
problemer,Probleme
hva,huh
slap,lose
forbi,Vergangenheit
gennem,durch
kalder,Anruf
job,Job
tænker,denken
ti,zehn
ha,Ha
fri,kostenlos
gammel,alt
ringer,Berufung
sjovt,Spaß
færdig,erledigt
fast,Feste
snakker,Gespräche
våben,Waffen
klarer,Durchführen
chance,Chance
køre,Fahrt
drenge,Jungs
ligner,sieht aus wie
bad,Bad
slår,Hits
lader,Scheunen
al,Aal
stedet,der Ort
sidder,Sitzung
ligger,Lügen
sa,damit
hånd,Hand
stå,Stand
mad,Lebensmittel
stoppe,Stop
hjemme,Zuhause
ad,Anzeige
ske,Löffel
hader,Hass
tænk,denken
mest,die meisten
seks,sechs
døren,die Tür
sgu,Verdammt
lavet,gemacht
historie,Geschichte
the,das
vente,warten
tænke,denken
tii,tii
nummer,Nummer
flot,großartig
plads,Platz
hovedet,der Kopf
resten,der Rest
datter,Tochter
svært,schwierig
føler,Gefühl
beklager,Es tut uns leid
fantastisk,Fantastisch
ring,Ring
bor,sollte
slet,Löschen
nat,Nacht-
prøv,Versuchen
helst,vorzugsweise
pengene,das Geld
hvilket,welche
fortæller,Erzähler
leve,Leben
mellem,zwischen
glem,vergessen
ringe,Anruf
live,Leben
nyt,Neu
redde,sparen
tæt,schließen
kvinder,Frauen
blod,Blut
jorden,die Erde
skide,Ficken
stort,großartig
spise,Essen
herre,Herr
dræbt,getötet
uge,Woche
new,Neu
vand,Wasser
tur,Ausflug
dollars,Dollar
kort,Karte
sagen,der Fall
passer,Spiel
luk,schließen
øjne,Augen
beder,fragt
lære,lernen
time,Stunde
afsted,verlassen
sine,es ist
spille,abspielen
dræbte,getötet
bruger,Nutzer
piger,Mädchen
gift,verheiratet
husker,merken
søster,Schwester
små,klein
mindre,Weniger
begynder,beginnt
forstået,verstanden
fuld,voll
hjerte,Herz
holdt,unterhalten
måtte,Matte
huset,das Haus
præcis,genau
bør,sollte
land,Land
by,"Stadt, Dorf"
røven,der Esel
øje,Auge
lov,Recht
skynd,Eile
slut,Ende
fred,Frieden
læg,Plissee
smuk,schön
sandheden,die Wahrheit
klokken,Uhr
spørge,Fragen
fedt,Cool
værsgo,Bitte schön
spiller,Spieler
kære,sehr geehrter
slog,schlagen
held,Glück
kæreste,Freundin
lkke,Nicht
unge,jung
miss,Fräulein
lever,Leber
jamen,Aber
knægt,Junge
rigtige,richtig
alligevel,wie auch immer
nede,Nieder
herrer,Herren
besked,Botschaft
slip,Freisetzung
roligt,ruhig
valg,Wahl
tænkt,habe gedacht
vis,Aussicht
findes,gefunden
oppe,oben
lavede,tat
seng,Bett
kærlighed,Liebe
fyre,Feuer
handler,Trades
måneder,Monate
svin,Schwein
forstå,verstehen
masse,Menge
find,finden
dagen,der Tag
sætte,stellen
perfekt,perfekt
tom,leer
hoved,Main
kl,beim
foran,vor
idé,Idee
fortalt,erzählte
udenfor,draußen
muligt,möglich
ansigt,Gesicht
agent,Agent
forkert,falsch
rejse,Ausflug
elskede,Geliebte
røv,Arsch
lyst,hell
frank,Franks
stykke,Stück
manden,der Mann
krig,Krieg
Mrs,Frau.
ej,nicht
hvert,jeder
prøvede,versucht
husk,merken
foregår,gehen
vigtigt,wichtig
aftale,geplanter Termin
venstre,links
endelig,endlich
idiot,Dummkopf
goddag,Schönen Tag
Sam,Sam
svar,Antworten
spil,Spiel
ønske,Wunsch
plan,Niveau
hårdt,schwer
sætter,puts
dræber,Mörder
oh,Oh
sjov,Spaß
kamp,Spiel
viser,zeigt an
sikkerhed,Sicherheit
millioner,Millionen
sag,Fall
chef,Chef
skyde,schießen
højre,richtig
sender,sendet
steder,Websites
arbejdet,die Arbeit
lykke,Glück
mening,Meinung
damer,Damen
værelse,Zimmer
hjælper,Hilfe
kør,Fahrt
godmorgen,Guten Morgen
derude,dort draußen
betale,Zahlen
uger,Wochen
træk,ziehen
klart,klar
bede,Fragen
hænder,Hände
godnat,Gute Nacht
givet,gegeben
kæmpe,Wettbewerb
blot,gerade
fly,Flug
ligeglad,macht mir nichts aus
skyd,schießen
film,Film
talte,gesprochen
ringede,telefoniert
lover,Lions
natten,die Nacht
Charlie,Charlie
hente,abholen
syv,Sieben
pistol,Pistole
værd,wert
sikke,sikke
forældre,Eltern
gutter,Jungs
Peter,Peter
rart,nett
let,einfach
York,York
tja,Gut
vinder,Gewinner
fandens,Verdammt
aner,Abstammung
sidst,zuletzt
tøj,Kleidung
værre,schlechter
harry,harry
talt,gesprochen
fald,verringern
dårligt,Schlecht
general,Allgemeines
dum,blöd
sove,schlafen
hvide,Weiß
træt,müde
tidligere,vorhin
spørger,fragt
derinde,da drin
stod,stand
straks,sofort
købe,Kaufen
skrive,schreiben
javel,javel
følge,Folgen
største,größten
mindste,Minimum
kendte,bekannt
person,Person
begyndte,begann
mærke,Gefühl
baby,Baby
fuck,Scheiße
gider,Mühe
skyder,schießen
lys,Licht
sekunder,Sekunden
henter,herunterladen
hund,Hund
desværre,Unglücklicherweise
søde,Schätzchen
nød,genossen
sidde,sitzen
skudt,Schuss
utroligt,unglaublich
tjeneste,Gefallen
bog,Buch
ende,Ende
tal,lauter sprechen
indenfor,innerhalb
tillykke,Herzliche Glückwünsche
øjnene,die Augen
tv,Fernseher
james,James
mente,habe gedacht
smule,bisschen
menneske,menschliches Wesen
dårlig,Schlecht
mødes,Treffen
skød,Runde
sendt,geschickt
doktor,Arzt
mangler,fehlt
læse,lesen
Michael,Michael
vejret,das Wetter
makker,Kamerad
kaffe,Kaffee
følger,folgt
enhver,irgendein
otte,acht
onkel,Onkel
hår,Haar
større,größer
præsident,Präsident
løbe,Lauf
beskytte,schützen
kigger,aussehen
øh,äh
fortsæt,fortsetzen
fru,Frau
vild,wild
åbne,öffnen
dyr,Tiere
skade,Beschädigung
billede,Bild
eget,besitzen
syg,krank
fyren,der Kerl
sort,schwarz
bord,Tabelle
betaler,zahlt
højt,hoch
slået,geschlagen
dumme,blöd
fest,Party
George,George
vinde,Sieg
sende,senden
kig,aussehen
mike,Mike
lod,klang
følg,Folgen
lig,gleich
spiser,Essen
mistet,hat verloren
røvhul,Arschloch
sex,Sex
sid,sid
pigen,das Mädchen
hertil,Hier
ære,Ehre
dame,Dame
fængsel,Gefängnis
smukt,schön
lede,suchen
sat,einstellen
anderledes,anders
mester,Meister
kontor,Büro
vii,wir du
døden,Tod
sendte,geschickt
yeah,Ja
hent,holen
sorte,schwarz
drikke,Trinken
travlt,beschäftigt
David,David
dejligt,schön
glemt,Vergessene
spor,Spur
tingene,die Sachen
ung,jung
skole,Schule
passe,passen
rør,Tube
rette,richtig
begynde,Start
betjent,Polizist
forklare,erklären
ide,Idee
fader,Vater
landet,das Land
skai,skai
hænderne,die Hände
umuligt,unmöglich
herinde,hier drin
drøm,Traum
kalde,Anruf
åben,öffnen
alting,alles
ene,eins
meter,Meter
venlig,freundlich
vandet,das Wasser
luften,die Luft
tør,trocken
fanget,gefangen
fange,Erfassung
overhovedet,alles
forhold,Beziehung
råd,Rat
frue,Dame
jimmy,Jimmy
smukke,Herrlich
uanset,was auch immer
stole,Stühle
godeste,Güte
født,geboren
forsigtig,vorsichtig
faldt,fiel
send,senden
spurgte,abgefragten
netop,genau
syntes,habe gedacht
bekymret,besorgt
skolen,die Schule
elske,Liebe
familien,die Familie
falder,rückläufig
stil,Stil
føles,fühlt sich
egne,besitzen
fare,Achtung
brugte,benutzt
sover,Schlafen
vende,umkehren
guds,Gott
forlade,verlassen
nar,wann
dele,Teile
løber,läuft
tidspunkt,Zeitpunkt
advokat,Anwalt
halv,Hälfte
oberst,Oberst
max,max
kendt,bekannt
mødt,getroffen
bo,bleibe
fører,Treiber
kende,kennt
slippe,loswerden
lærer,Lehrer
slås,Kampf
stolt,stolz
stopper,Anschläge
læge,Arzt
mund,Mund
kigge,aussehen
drink,Getränk
direkte,Direkte
fbi,fbi
bedst,Beste
mord,Mord
ændre,ändern
nemlig,Genau
telefon,Telefon
angreb,Attacke
rejser,Reise
ordre,Auftrag
sikre,dafür sorgen
normalt,normalerweise
smid,werfen
konge,König
ægte,Original-
flyve,Fliege
ordne,Fix
skylder,verdanken
skriver,schreiben
ni,neun
rent,reinigen
ødelægge,zerstören
skib,Schiff
satan,Satan
joe,joe
fart,Geschwindigkeit
vender,Wende
brugt,benutzt
prøvet,versucht
telefonen,Telefon
vore,unsere
børnene,Kinder
krigen,der Krieg
kontakt,Kontakt
gave,Geschenk
skør,verrückt
mødte,getroffen
skrev,schrieb
ærligt,ehrlich
bestemt,Spezifisch
ild,Feuer
middag,Abendessen
ryger,Rauchen
satans,satans
naturligvis,Kurs
kørte,Fahren
stemme,Abstimmung
slemt,Schlecht
bob,Bob
stand,fähig
ah,Ah
lyset,das Licht
problemet,das Problem
paul,paul
lukket,geschlossen
skid,Schleudern
hav,Meer
føle,Gefühl
forsøger,Versuchen
aftes,letzter Nacht
fars,Vater
jesus,Jesus
blå,Blau
krop,Körper
flyt,Bewegung
historien,die Geschichte
forkerte,falsch
glemme,vergessen
pænt,nett
pris,Preis
mistede,hat verloren
ma,Muss
alex,Alex
dér,Dort
glemte,vergessen
forsvind,Hau ab
stærk,stark
billeder,Bilder
hurtigere,Schneller
starte,Anfang
nær,in der Nähe von
taber,Verlierer
undskylde,Entschuldigung
frøken,Fräulein
reddede,Gerettet
bill,Rechnung
levende,Leben
bryder,geht kaputt
fleste,die meisten
derovre,da drüben
løgn,Lüge
lært,gelernt
skrevet,geschrieben
magt,Leistung
ro,ro
underligt,seltsam
venligst,Bitte
paris,Paris
løs,lose
an,ein
dræb,töten
selvom,obwohl
enkelt,Single
sang,Lied
vred,wütend
øl,Bier
stykker,Stücke
rum,Zimmer
lyver,liegend
sulten,hungrig
tredje,dritte
musik,Musik-
parat,bereit
masser,viele
løjtnant,Leutnant
interessant,interessant
midt,mitten drin
starter,beginnt
miste,Verlieren
slipper,Freisetzung